,PVC
0,32867
1,33045
2,33653
3,33820
4,34858
5,35468
6,35638
7,36290
8,36951
9,37123
10,38092
11,38267
12,38939
13,39118
14,40085
15,40255
16,41222
17,41395
18,42003
19,42625
20,42798
21,43460
22,44084
23,44692
24,44867
25,45547
26,46156
27,46323
28,46956
29,47606
30,47780
31,48413
32,48568
33,49191
34,49374
35,50022
36,50607
37,50773
38,51400
39,52037
40,52211
41,52836
42,54074
43,54253
44,54888
45,55063
46,55747
47,57684
48,57875
49,58534
50,59170
51,59332
52,59954
53,60636
54,61277
55,63691
56,63864
57,64035
58,64766
59,95905
60,160654
61,162955
62,256105
63,257583
64,258138
65,258715
66,259601
67,260167
68,261667
69,262749
70,262918
71,263825
72,264385
73,265523
74,266387
75,266557
76,267120
77,267946
78,268130
79,268678
80,269191
81,269719
82,270225
83,270721
84,271192
85,271687
86,272220
87,272749
88,273242
89,273767
90,274313
91,274849
92,275361
93,275876
94,276380
95,276897
96,277390
97,277883
98,278414
99,278942
100,279430
101,279900
102,280401
103,280901
104,281389
105,281866
106,282362
107,282884
108,283401
109,283872
110,284353
111,284862
112,285364
113,285848
114,286331
115,286830
116,287355
117,287882
118,288389
119,288916
120,289477
121,289996
122,290487
123,290993
124,291509
125,292014
126,292503
127,293002
128,293539
129,294108
130,294622
131,295133
132,295665
133,296184
134,296701
135,297223
136,297789
137,298385
138,298961
139,299539
140,300180
141,300786
142,301387
143,302009
144,302631
145,303209
146,303753
147,304343
148,304967
149,305550
150,306162
151,306790
152,307378
153,307931
154,308531
155,309157
156,309742
157,310326
158,310919
159,311497
160,312048
161,312215
162,312815
163,313398
164,313583
165,314152
166,314722
167,315317
168,315880
169,316392
170,316933
171,317493
172,318049
173,318609
174,319176
175,319781
176,320343
177,321140
178,321324
179,321945
180,322512
181,323064
182,323673
183,325060
184,325229
185,326644
186,327201
187,327798
188,328621
189,328790
190,329390
191,329977
192,331727
193,347955
194,348121
195,348695
196,349247
197,349772
198,350322
199,351083
200,351245
201,351850
202,352956
203,353107
204,353743
205,354350
206,356611
207,358410
208,359603
209,359769
210,360397
211,361564
212,361721
213,362335
214,377769
215,378447
216,379989
217,380163
218,380802
219,381422
220,381587
221,382255
222,382901
223,383507
224,384153
225,384834
226,385466
227,386109
228,386797
229,387456
230,388105
231,388792
232,390108
233,390289
234,390977
235,391653
236,391821
237,392450
238,393111
239,394083
240,395075
241,395262
242,395911
243,396528
244,397172
245,398180
246,398358
247,399000
248,400759
249,402552
250,403563
251,403755
252,404438
253,405059
254,405730
255,406733
256,406911
257,407531
258,408524
259,408707
260,409310
261,409952
262,410603
263,411228
264,411830
265,412468
266,413117
267,413724
268,414375
269,415043
270,415669
271,416321
272,416978
273,417616
274,418235
275,418900
276,419551
277,420172
278,420819
279,421475
280,422109
281,422720
282,423385
283,424031
284,424653
285,425330
286,425984
287,426598
288,427235
289,428567
290,430234
291,433354
292,435527
293,436598
294,437617
295,438296
296,438974
297,439596
298,439780
299,440447
300,441116
301,441749
302,442402
303,443072
304,443716
305,444354
306,445386
307,446000
308,446651
309,447286
310,447867
311,448824
312,449497
313,450140
314,450762
315,451792
316,452777
317,453460
318,454149
319,454794
320,455470
321,456156
322,456789
323,457462
324,458137
325,458785
326,460098
327,516966
328,517903
329,518900
330,519526
331,520159
332,520784
333,520961
334,521581
335,522222
336,522886
337,523512
338,524111
339,524792
340,525436
341,526060
342,526709
343,527372
344,527974
345,528564
346,529210
347,529847
348,530461
349,531116
350,531779
351,532398
352,532997
353,533637
354,534246
355,534815
356,535442
357,536087
358,536698
359,537357
360,538016
361,538638
362,539257
363,540229
364,540420
365,541055
366,542006
367,542194
368,542836
369,543449
370,544110
371,544770
372,545374
373,545986
374,546165
375,546813
376,547444
377,548044
378,548697
379,549313
380,549915
381,550551
382,551181
383,551774
384,552382
385,553033
386,553677
387,554299
388,554954
389,555613
390,556218
391,556879
392,557527
393,558173
394,558775
395,559451
396,560105
397,560287
398,560919
399,561582
400,561759
401,562410
402,563065
403,563243
404,564687
405,564853
406,565959
407,566139
408,566798
409,566969
410,568757
411,568930
412,581505
413,581686
414,583391
415,583578
416,585074
417,585266
418,586376
419,586550
420,587713
421,587897
422,589023
423,589216
424,589948
425,590128
426,591216
427,591396
428,592541
429,592712
430,593850
431,594033
432,595155
433,595323
434,596500
435,596681
436,597364
437,597537
438,598719
439,598900
440,599565
441,599737
442,600906
443,601078
444,602185
445,602372
446,603487
447,603658
448,604773
449,604958
450,606024
451,606203
452,607330
453,607521
454,608179
455,608353
456,609042
457,609229
458,609895
459,610510
460,610682
461,611355
462,611528
463,612166
464,612822
465,613029
466,613704
467,614694
468,615730
469,616750
470,616931
471,618074
472,618757
473,618940
474,620082
475,620275
476,621340
477,621523
478,623040
479,623224
480,624339
481,624521
482,625559
483,626238
484,627831
485,628008
486,628697
487,630774
488,630950
489,631585
490,632510
491,632695
492,633326
493,633883
494,634048
495,634660
496,635269
497,635836
498,636406
499,637038
500,637662
501,638257
502,638856
503,639491
504,640085
505,640262
506,640877
507,641807
508,641989
509,642572
510,643157
511,643761
512,644600
513,644768
514,645388
515,645996
516,646177
517,647778
518,649162
519,649340
