,R
0,70
1,550
2,1021
3,1498
4,1925
5,2340
6,2821
7,3259
8,3667
9,4154
10,4630
11,5071
12,5594
13,6073
14,6510
15,6991
16,7474
17,7920
18,8409
19,8892
20,9326
21,9793
22,10273
23,10713
24,11198
25,11681
26,12145
27,12635
28,13114
29,13530
30,13992
31,14438
32,14848
33,15276
34,15721
35,16111
36,16512
37,16948
38,17352
39,17739
40,18194
41,18620
42,19026
43,19492
44,19915
45,20318
46,20754
47,21165
48,21554
49,22001
50,22456
51,22873
52,23322
53,23759
54,24174
55,24617
56,25061
57,25465
58,25914
59,26350
60,26746
61,27120
62,27476
63,27840
64,28200
65,28541
66,28909
67,29289
68,29659
69,30066
70,30544
71,31001
72,31471
73,31933
74,32365
75,32799
76,33257
77,33674
78,34101
79,34546
80,34953
81,35373
82,35877
83,36304
84,36712
85,37217
86,37643
87,38031
88,38394
89,38743
90,39103
91,39480
92,39843
93,40226
94,40625
95,41017
96,41512
97,42010
98,42492
99,42985
100,43420
101,43864
102,44331
103,44751
104,45142
105,45560
106,46008
107,46429
108,46874
109,47332
110,47700
111,48066
112,48433
113,48813
114,49339
115,49807
116,50288
117,50766
118,51212
119,51683
120,52162
121,52587
122,53077
123,53545
124,53959
125,54398
126,54867
127,55297
128,55715
129,56185
130,56566
131,56947
132,57343
133,57762
134,58304
135,58809
136,59267
137,59747
138,60202
139,60639
140,61109
141,61538
142,61934
143,62358
144,62773
145,63168
146,63566
147,64063
148,64537
149,64939
150,65416
151,65872
152,66256
153,66621
154,66990
155,67346
156,67717
157,68228
158,68704
159,69206
160,69679
161,70151
162,70650
163,71094
164,71529
165,72010
166,72463
167,72885
168,73328
169,73741
170,74135
171,74599
172,75008
173,75378
174,75759
175,76128
176,76633
177,77109
178,77576
179,78072
180,78529
181,78983
182,79430
183,79838
184,80298
185,80728
186,81137
187,81557
188,82010
189,82405
190,82803
191,83171
192,83526
193,83903
194,84267
195,84654
196,85145
197,85614
198,86105
199,86590
200,87025
201,87455
202,87920
203,88346
204,88779
205,89228
206,89653
207,90069
208,90543
209,90975
210,91383
211,91828
212,92286
213,92700
214,93193
215,93628
216,94038
217,94490
218,94939
219,95347
220,95799
221,96244
222,96652
223,97105
224,97505
225,97882
226,98251
227,98606
228,98970
229,99325
230,99686
231,100046
232,100410
233,100915
234,101373
235,101842
236,102338
237,102792
238,103270
239,103768
240,104211
241,104662
242,105119
243,105541
244,105988
245,106467
246,106907
247,107361
248,107841
249,108286
250,108742
251,109231
252,109660
253,110130
254,110592
255,111014
256,111463
257,111888
258,112252
259,112611
260,112979
261,113336
262,113752
263,114278
264,114760
265,115241
266,115698
267,116156
268,116635
269,117078
270,117519
271,117975
272,118392
273,118851
274,119321
275,119745
276,120206
277,120663
278,121084
279,121557
280,122019
281,122439
282,122871
283,123261
284,123617
285,123987
286,124355
287,124743
288,125284
289,125775
290,126258
291,126751
292,127192
293,127677
294,128147
295,128575
296,129025
297,129483
298,129906
299,130310
300,130758
301,131187
302,131587
303,132014
304,132404
305,132828
306,133281
307,133708
308,134162
309,134615
310,135030
311,135469
312,135874
313,136300
314,136752
315,137170
316,137588
317,138011
318,138374
319,138729
320,139095
321,139455
322,139837
323,140317
324,140794
325,141233
326,141736
327,142189
328,142655
329,143113
330,143527
331,143973
332,144416
333,144823
334,145275
335,145720
336,146103
337,146532
338,146972
339,147373
340,147759
341,148158
342,148509
343,148866
344,149231
345,149594
346,149992
347,150457
348,150908
349,151367
350,151850
351,152283
352,152471
353,152737
354,153138
355,153555
356,153965
357,154396
358,154792
359,155193
360,155623
361,156034
362,156442
363,156870
364,157233
365,157598
366,157963
367,158317
368,158693
369,159137
370,159589
371,160009
372,160447
373,160866
374,161296
375,161666
376,162030
377,162396
378,162740
379,163073
380,163424
381,163815
382,164194
383,164563
384,164964
385,165391
386,165878
387,166333
388,166814
389,167277
390,167719
391,168191
392,168630
393,169051
394,169498
395,169907
396,170278
397,170641
398,170986
399,171336
400,171705
401,172120
402,172536
403,172985
404,173435
405,173852
406,174283
407,174697
408,175073
409,175445
410,175800
411,176148
412,176497
413,176841
414,177187
415,177562
416,178035
417,178513
418,179014
419,179487
420,179928
421,180401
422,180906
423,181337
424,181812
425,182299
426,182719
427,183169
428,183627
429,184039
430,184446
431,184821
432,185194
433,185564
434,185937
435,186348
436,186842
437,187324
438,187809
439,188264
440,188712
441,189183
442,189641
443,190074
444,190538
445,190956
446,191378
447,191820
448,192226
449,192651
450,193091
451,193499
452,193893
453,194254
454,194611
455,194973
456,195319
457,195683
458,196085
459,196506
460,197032
461,197510
462,197947
463,198339
464,198715
465,199081
466,199432
467,199775
468,200107
469,200457
470,200800
471,201139
472,201493
473,201866
474,202247
475,202644
476,203020
477,203409
478,203829
479,204287
480,204753
481,205255
482,205709
483,206174
484,206669
485,207111
486,207531
487,207967
488,208348
489,208716
490,209092
491,209466
492,209927
493,210472
494,210990
495,211507
496,211980
497,212455
498,212953
499,213397
500,213854
501,214282
502,214701
503,215152
504,215566
505,215933
506,216307
507,216697
508,217138
509,217658
510,218128
511,218626
512,219079
513,219522
514,219998
515,220449
516,220852
517,221241
518,221606
519,221972
520,222358
521,222859
522,223319
523,223801
524,224284
525,224733
526,225180
527,225596
528,226050
529,226511
530,226939
531,227396
532,227847
533,228273
534,228708
535,229137
536,229556
537,230008
538,230424
539,230837
540,231312
541,231720
542,232148
543,232614
544,233029
545,233456
546,233904
547,234337
548,234752
549,235214
550,235653
551,236059
552,236504
553,236952
554,237357
555,237812
556,238261
557,238668
558,239100
559,239545
560,239956
561,240377
562,240762
563,241138
564,241494
565,241848
566,242195
567,242556
568,242936
569,243430
570,243919
571,244408
572,244845
573,245286
574,245764
575,246198
576,246636
577,247106
578,247529
579,247996
580,248485
581,248894
582,249356
583,249824
584,250243
585,250700
586,251190
587,251614
588,252075
589,252515
590,252936
591,253381
592,253815
593,254221
594,254666
595,255107
596,255516
597,255979
598,256430
599,256840
600,257272
601,257737
602,258155
603,258619
604,259060
605,259468
606,259921
607,260338
